unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,LAO,Lao People's Democratic Republic,POL3,83,69,74,78,80,85,84,83,83,83,82,76,78,76,67,60,46,56,50,46,52,55,55,57
Non-programme,LVA,Latvia,POL3,98,95,94,99,99,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,98,97,96
MENA,LBN,Lebanon,POL3,55,64,64,67,73,75,76,78,79,81,81,82,82,83,83,84,82,80,78,76,74,77,80,83
ESAR,LSO,Lesotho,POL3,87,65,87,87,87,87,87,87,85,88,90,93,95,92,89,86,87,88,88,89,90,84,78,82
WCAR,LBR,Liberia,POL3,72,52,64,67,69,79,79,73,65,62,80,80,77,71,84,79,67,66,66,47,49,51,54,56
MENA,LBY,Libya,POL3,73,73,73,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94
Non-programme,LTU,Lithuania,POL3,90,90,90,91,92,92,94,94,93,93,93,93,92,95,98,96,95,94,93,90,91,97,97,92
Non-programme,LUX,Luxembourg,POL3,99,99,99,99,99,99,99,99,99,99,99,99,96,96,96,96,96,99,99,99,99,99,99,99
ESAR,MDG,Madagascar,POL3,63,55,55,67,69,71,69,72,68,71,72,71,73,70,76,77,83,83,80,74,65,61,60,58
ESAR,MWI,Malawi,POL3,91,87,89,93,94,91,87,83,88,87,89,95,97,86,93,92,88,99,94,94,85,79,86,73
EAPR,MYS,Malaysia,POL3,97,97,95,98,98,99,99,98,99,97,97,97,96,96,97,97,97,95,96,95,96,94,95,98
ROSA,MDV,Maldives,POL3,99,99,97,99,99,99,99,99,99,99,99,99,96,97,98,98,98,98,98,96,98,98,97,98
WCAR,MLI,Mali,POL3,68,68,69,65,70,71,72,72,66,62,57,65,72,77,77,74,76,79,78,70,67,65,56,53
Non-programme,MLT,Malta,POL3,98,98,99,98,98,97,98,97,97,99,99,99,96,76,73,72,76,83,94,89,94,95,95,94
EAPR,MHL,Marshall Islands,POL3,84,86,85,82,78,80,79,69,85,77,79,80,88,95,99,96,91,95,88,68,80,80,56,36
WCAR,MRT,Mauritania,POL3,90,81,76,81,75,72,70,69,67,81,80,80,73,52,63,73,75,68,71,68,75,91,75,58
Non-programme,MUS,Mauritius,POL3,97,95,93,94,97,98,95,96,98,98,98,98,98,99,99,99,96,98,97,98,99,88,93,88
LACR,MEX,Mexico,POL3,85,83,78,72,82,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,98,97,97
EAPR,FSM,Micronesia (Federated States of),POL3,79,68,72,82,78,75,72,68,71,76,81,81,83,85,81,88,79,81,94,82,88,84,79,85
Non-programme,MCO,Monaco,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,MNG,Mongolia,POL3,97,95,96,97,98,99,99,99,99,99,98,99,99,96,96,95,99,98,99,99,98,98,95,94
ECAR,MNE,Montenegro,POL3,81,80,83,84,85,86,87,89,89,91,94,94,95,93,91,95,92,90,,,,,,
MENA,MAR,Morocco,POL3,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,95,97,98,97,91,94,93,95
ESAR,MOZ,Mozambique,POL3,78,74,64,75,84,84,84,84,84,84,81,79,76,73,74,74,75,73,71,69,67,76,72,69
EAPR,MMR,Myanmar,POL3,80,75,43,86,90,91,89,89,89,88,76,87,90,90,90,85,84,82,86,92,86,84,77,88
ESAR,NAM,Namibia,POL3,77,86,73,92,84,84,83,84,92,88,89,84,85,83,83,83,81,74,86,81,82,78,79,80
EAPR,NRU,Nauru,POL3,97,97,98,95,96,90,87,97,91,95,87,79,99,99,99,99,99,90,80,73,66,59,99,27
ROSA,NPL,Nepal,POL3,93,87,91,84,92,91,90,85,90,92,92,90,92,83,93,82,82,91,78,80,76,72,73,74
Non-programme,NLD,Netherlands (Kingdom of the),POL3,92,93,95,94,94,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97
Non-programme,NZL,New Zealand,POL3,88,89,90,92,92,93,94,92,92,93,92,93,95,93,92,89,88,89,89,87,86,84,82,82
LACR,NIC,Nicaragua,POL3,90,93,88,93,99,99,99,99,99,99,99,99,99,99,99,97,93,88,87,80,86,85,89,85
WCAR,NER,Niger,POL3,85,84,82,81,81,79,85,82,83,79,62,71,40,75,71,68,57,52,46,45,44,43,42,41
WCAR,NGA,Nigeria,POL3,62,62,62,62,66,61,55,53,42,40,40,42,48,54,66,60,54,46,45,43,42,40,36,31
EAPR,NIU,Niue,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,86,99,95,99,99,99
ECAR,MKD,North Macedonia,POL3,86,84,81,84,92,92,91,95,92,96,98,97,97,95,96,96,96,92,98,95,96,97,91,96
Non-programme,NOR,Norway,POL3,96,97,97,97,97,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,91
MENA,OMN,Oman,POL3,99,97,99,99,99,99,99,99,99,99,99,99,99,99,96,97,97,98,99,99,99,99,99,99
ROSA,PAK,Pakistan,POL3,86,85,83,83,84,75,75,75,72,69,65,64,63,52,52,53,54,58,63,67,66,64,63,61
EAPR,PLW,Palau,POL3,97,94,95,96,97,98,97,98,89,95,99,89,98,68,48,92,94,98,98,98,99,99,98,96
LACR,PAN,Panama,POL3,66,82,87,74,88,88,81,86,72,80,81,87,91,95,85,86,84,98,88,92,95,99,95,99
EAPR,PNG,Papua New Guinea,POL3,46,38,34,43,42,42,35,48,51,43,62,65,55,61,70,69,68,65,61,59,62,54,52,51
LACR,PRY,Paraguay,POL3,75,58,66,78,84,88,92,93,93,93,89,89,89,89,82,85,95,98,96,92,86,87,90,86
LACR,PER,Peru,POL3,84,82,79,72,87,87,88,88,88,78,71,94,91,92,92,93,93,94,66,81,95,95,90,93
EAPR,PHL,Philippines,POL3,77,83,66,82,85,84,82,81,79,82,85,88,88,88,87,87,87,88,90,85,85,77,76,74
Non-programme,POL,Poland,POL3,85,85,84,86,87,87,90,92,92,94,95,95,96,96,96,96,99,99,99,99,98,98,98,98
Non-programme,PRT,Portugal,POL3,99,99,99,99,99,99,98,98,98,98,98,98,97,97,96,97,96,97,93,95,96,96,96,96
MENA,QAT,Qatar,POL3,98,99,98,89,99,98,97,98,99,99,99,93,92,98,98,98,97,95,98,95,93,96,93,91
Non-programme,KOR,Republic of Korea,POL3,97,97,98,98,98,98,97,98,98,99,99,99,98,95,95,92,91,98,96,90,94,99,99,99
ECAR,MDA,Republic of Moldova,POL3,88,88,88,87,94,94,90,91,88,92,92,92,96,97,87,96,93,98,99,98,98,98,98,97
ECAR,ROU,Romania,POL3,78,85,86,87,88,86,82,89,89,94,88,92,89,94,95,95,96,97,97,97,97,98,99,99
Non-programme,RUS,Russian Federation,POL3,97,97,97,97,96,96,96,97,97,97,98,98,97,98,98,98,98,98,98,98,97,97,97,97
ESAR,RWA,Rwanda,POL3,94,97,88,91,98,97,98,99,99,98,98,98,93,93,93,97,98,99,95,89,96,85,76,90
LACR,KNA,Saint Kitts and Nevis,POL3,96,96,96,99,97,98,97,99,91,96,97,98,99,91,95,98,99,99,99,96,99,97,99,99
LACR,LCA,Saint Lucia,POL3,97,80,75,88,91,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,91,90,99,70
LACR,VCT,Saint Vincent and the Grenadines,POL3,99,99,92,99,99,99,99,99,99,97,97,96,96,99,99,99,99,99,93,99,99,99,99,99
EAPR,WSM,Samoa,POL3,84,76,80,89,68,44,66,73,78,76,81,82,79,74,61,69,63,49,66,35,90,91,88,98
Non-programme,SMR,San Marino,POL3,91,92,90,89,88,91,89,86,85,84,86,89,92,89,90,90,90,91,94,94,94,95,95,96
WCAR,STP,Sao Tome and Principe,POL3,85,89,93,94,95,95,95,96,96,95,97,96,96,98,99,99,98,97,97,99,94,92,90,87
MENA,SAU,Saudi Arabia,POL3,96,98,97,95,97,98,97,97,97,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95
WCAR,SEN,Senegal,POL3,76,92,89,94,97,92,91,92,85,85,89,83,89,76,83,87,93,89,84,87,73,60,49,49
ECAR,SRB,Serbia,POL3,93,92,91,92,97,96,95,93,95,93,97,93,94,91,97,95,93,97,98,96,89,95,93,98
Non-programme,SYC,Seychelles,POL3,97,97,94,97,99,99,97,96,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98
WCAR,SLE,Sierra Leone,POL3,91,91,90,90,95,93,90,84,86,83,92,91,88,84,81,75,63,65,67,69,66,54,38,46
Non-programme,SGP,Singapore,POL3,98,97,98,98,97,97,96,96,96,96,97,97,96,96,97,97,97,95,96,95,96,94,95,98
Non-programme,SVK,Slovakia,POL3,96,97,97,97,97,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,98,98,99,98
Non-programme,SVN,Slovenia,POL3,89,89,86,95,95,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,93
